,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Wakefield,40.89470517661,-73.84720052054902,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
1,Wakefield,40.89470517661,-73.84720052054902,Ripe Kitchen & Bar,40.898151685683544,-73.83887499584462,Caribbean Restaurant
2,Wakefield,40.89470517661,-73.84720052054902,Ali's Roti Shop,40.89403569556059,-73.8569349369388,Caribbean Restaurant
3,Wakefield,40.89470517661,-73.84720052054902,Jackie's West Indian Bakery,40.88928305984094,-73.84330953453158,Caribbean Restaurant
4,Wakefield,40.89470517661,-73.84720052054902,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop
5,Wakefield,40.89470517661,-73.84720052054902,Jimbo's,40.89174013088267,-73.85822584571335,Burger Joint
6,Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.8890623,-73.8429927,Pharmacy
7,Wakefield,40.89470517661,-73.84720052054902,Walgreens,40.896528,-73.8447,Pharmacy
8,Wakefield,40.89470517661,-73.84720052054902,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop
9,Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.896649,-73.8448461,Pharmacy
10,Wakefield,40.89470517661,-73.84720052054902,Walgreens,40.89875681347848,-73.85444551706314,Pharmacy
11,Wakefield,40.89470517661,-73.84720052054902,Subway,40.89046821651127,-73.8491520209833,Sandwich Place
12,Wakefield,40.89470517661,-73.84720052054902,Shell,40.894187118166535,-73.84586195733382,Gas Station
13,Wakefield,40.89470517661,-73.84720052054902,T-Mobile,40.8932163,-73.8572509,Mobile Phone Shop
14,Wakefield,40.89470517661,-73.84720052054902,Fine Fare,40.88924476474482,-73.84357937403945,Supermarket
15,Wakefield,40.89470517661,-73.84720052054902,Dunkin',40.89838958635662,-73.85464265921001,Donut Shop
16,Wakefield,40.89470517661,-73.84720052054902,E&L Bakery,40.893564000000005,-73.85699699999999,Bakery
17,Wakefield,40.89470517661,-73.84720052054902,Domino's Pizza,40.89844256649264,-73.85485053062439,Pizza Place
18,Wakefield,40.89470517661,-73.84720052054902,Foodtown,40.896418935039556,-73.85564224112738,Supermarket
19,Wakefield,40.89470517661,-73.84720052054902,McDonald's,40.90264544569362,-73.84948544204235,Fast Food Restaurant
20,Wakefield,40.89470517661,-73.84720052054902,Chase Bank,40.893297,-73.856222,Bank
21,Wakefield,40.89470517661,-73.84720052054902,Shell,40.891771000000006,-73.853213,Gas Station
22,Wakefield,40.89470517661,-73.84720052054902,Popeyes Louisiana Kitchen,40.889502652424504,-73.84338927759532,Fried Chicken Joint
23,Wakefield,40.89470517661,-73.84720052054902,Capital One Bank,40.89374018544049,-73.85745366780156,Bank
24,Wakefield,40.89470517661,-73.84720052054902,Shell,40.888851165771484,-73.84249114990234,Gas Station
25,Wakefield,40.89470517661,-73.84720052054902,Pitman Deli,40.89674377441406,-73.84439849853516,Food
26,Wakefield,40.89470517661,-73.84720052054902,Central Deli,40.896728,-73.844387,Deli / Bodega
27,Wakefield,40.89470517661,-73.84720052054902,Dunkin',40.89306385538046,-73.85697719386576,Donut Shop
28,Wakefield,40.89470517661,-73.84720052054902,McDonald's,40.889434814453125,-73.84336853027344,Fast Food Restaurant
29,Wakefield,40.89470517661,-73.84720052054902,Louis Pizza,40.898399,-73.84881,Pizza Place
30,Wakefield,40.89470517661,-73.84720052054902,Associated Supermarket,40.88796975874366,-73.84692879859317,Supermarket
31,Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.89851188277123,-73.8553595778686,Pharmacy
32,Wakefield,40.89470517661,-73.84720052054902,McDonald's,40.892779,-73.857473,Fast Food Restaurant
33,Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.8922837,-73.8583027,Pharmacy
34,Wakefield,40.89470517661,-73.84720052054902,Barnes Ave Grocery,40.892181,-73.854427,Grocery Store
35,Wakefield,40.89470517661,-73.84720052054902,Hong Kong China King,40.88956832885742,-73.84291076660156,Chinese Restaurant
36,Wakefield,40.89470517661,-73.84720052054902,excellent taste restaurant,40.897269,-73.854866,Asian Restaurant
37,Wakefield,40.89470517661,-73.84720052054902,Met Food,40.896285999999996,-73.85539,Supermarket
